NAME,DAYSINIT,DAYSDEVELOP,DAYSMID,DAYSLATE,KCINIT,KCMID,KCEND,PDRY,ZROOTINIT,ZROOTMAX,DATERANGESTART,DATERANGEEND
Winter Wheat,150,30,20,40,0.6,1.17,0.4,0.55,0.25,1.6,01.09.11,30.11.11
Maize,15,25,25,45,0.55,1.14,0.59,0.55,0.25,1.3,01.05.11,31.07.11
Cotton,26,63,36,51,0.28,1.15,0.68,0.65,0.25,1.3,01.03.11,31.05.11
Apples,30,65,100,30,0.39,0.91,0.65,0.5,0.25,1.5,01.02.11,30.04.11
Pears,30,65,100,30,0.39,0.91,0.65,0.5,0.25,1.5,01.02.11,30.04.11
Wine,12,24,64,12,0.31,0.83,0.4,0.45,0.25,1.5,01.03.11,31.05.11
Peach,12,24,64,12,0.39,0.91,0.65,0.5,0.25,1.5,01.02.11,30.04.11
Cucumber,25,35,50,20,0.5,1,0.8,0.5,0.25,0.95,01.01.11,31.03.11
Tomato,20,27,26,17,0.6,1.15,0.8,0.4,0.25,1.1,01.03.11,31.05.11
Vigna Radiata,20,30,30,20,0.4,1.05,0.5,0.45,0.25,0.8,01.03.11,31.05.11
Vegetables,20,30,40,10,0.7,1,0.9,0.4,0.25,0.6,01.01.11,31.03.11
Roots,20,30,40,10,0.7,1,0.9,0.4,0.25,0.6,01.01.11,31.03.11
Millet,17,29,46,28,0.3,1,0.3,0.55,0.25,1.5,01.06.11,30.06.11
Peanut,47,30,80,6,0.28,1.11,0.57,0.5,0.25,0.75,01.03.11,31.05.11
Potato (Autumn),25,30,30,30,0.5,1.15,0.4,0.4,0.25,0.6,01.08.11,30.09.11
Potato (Spring),25,30,30,30,0.5,1.15,0.4,0.4,0.25,0.6,01.02.11,31.03.11
Sorghum (Grain),20,35,45,30,0.31,1.03,0.5,0.55,0.25,1.5,01.03.11,31.05.11
Soy,20,25,60,15,0.6,1.1,0.48,0.5,0.25,0.95,01.05.11,31.07.11
Sweet Potato,15,30,50,30,0.5,1.15,0.65,0.65,0.25,1.25,01.05.11,31.07.11
Sweet Melon,25,35,40,20,0.33,1.01,0.73,0.4,0.25,1.15,01.03.11,31.05.11