MONTH,PRCP,PRCP_25,TMAX,TMIN,HUM,WND,WETD,SUNH
1,3.302,1.016,3.863037,-6.558124,60.33187,2.310945,2.053929,4.99
2,7.112,3.302,8.020049,-2.789676,57.56596,2.692201,3.263514,5.55
3,9.144,4.318,14.677709,2.625492,51.99833,3.140969,2.883721,5.59
4,19.177,8.382,20.858025,8.378975,58.98576,2.967267,5.949153,6.2
5,45.72,27.94,26.512195,14.201174,62.88171,2.648719,6.006568,7.58
6,59.563,36.322,31.598976,19.659936,59.74878,2.483492,8.017241,8.03
7,126.746,88.138,31.840568,22.703951,75.74404,2.124759,12.347899,6.83
8,123.952,81.915,30.260508,21.144463,79.43382,1.977724,10.350413,6.32
9,38.608,22.352,26.589938,15.680438,72.73622,1.948381,8.556876,6.35
10,29.083,10.16,21.210787,9.316225,65.18206,2.115737,5.636364,6.18
11,15.24,4.826,12.475009,1.555648,65.94855,2.301362,5.175879,5.19
12,6.477,2.54,5.721421,-4.331019,63.29964,2.25938,2.831731,5.06